㧕	31856.020:liǔ
㧗	31868.150:zǐ,jǐ,zhǐ
㧘	31863.060:zì
㧙	31859.020:bì,bié
㧚	31849.040:wǎ
㧡	31875.060:hài,wèi
㧢	31869.060:yīn
㧣	31869.080:zhū
㧤	31875.070:chòng
㧥	31869.090:xiǎn
㧦	31874.010:xuàn,hōng
㧩	31873.030:pèi
㧪	31873.040:guǐ,wěi
㧫	31867.090:ér,ruán,ruí
㧬	31863.030:gǒng
㧭	31847.020:qióng
㧮	31871.050:hū
㧯	31866.050:lǎo
㧲	31887.100:sǎn
㧳	31877.060:zhuò,bāi
㧴	31884.070:wǒ,é
㧶	31884.150:kēng
㧷	31877.140:tùn
㧸	31887.040:pēng
㧹	31896.050:tè
㧺	31897.110:tà
㧻	31894.010:zhuó,zú,dū
㧽	31897.070:gù
㧾	31902.080:hū
㨁	31892.040:zhì,zhí
㨂	31892.070:dǒng
㨃	31903.030:duǐ,chéng
㨄	31902.040:zhào,tiáo,zhōu
㨅	31891.060:nèi,ruì
㨆	31892.050:lǐn
㨇	31890.050:pó
㨉	31926.020:mín,wěn
㨊	31913.090:wěi,tuǒ,duò
㨋	31911.070:chě
㨌	32162.010:gòu
㨍	31910.030:bāng
㨏	31918.010:tān
㨐	31920.010:bǔ
㨑	31922.010:zōng
㨒	31913.130:kuī
㨔	31913.100:hàn
㨖	31931.020:zhì
㨙	31933.010:xié,xì
㨚	31929.030:xún,sǔn
㨛	31938.020:shǎn,shàn
㨜	31931.030:qián
㨝	31938.060:xiē
㨞	31928.060:sù
㨟	31932.030:hāi
㨡	31932.020:hún
㨢	31939.030:pī
㨥	31939.080:nà
㨧	31939.010:bèn
㨨	31935.060:chōu,liù
㨪	31931.060:huàng,huǎng
㨭	31950.070:hù
㨮	31947.120:dōu
㨰	31948.130:gǔn
㨳	31949.090:guǐ,jì
㨴	31942.080:jiàn
㨶	31948.040:dǎo
㨷	31942.030:jìn
㨸	31950.060:mà
㨹	31941.070:huì,xuě
㨺	31942.040:miǎn,mén
㨻	31940.020:cán,shǎn,zàn,chàn
㨽	31943.030:pì
㩃	31963.030:qiān
㩄	31958.040:shāi
㩆	31961.070:jiù,zú
㩇	31963.060:huò,zuó,huá
㩈	31963.050:yǔn
㩉	31960.100:dá,lā,xī,xié
㩊	31960.080:xuān
㩋	31972.120:sù,xiāo
㩌	31964.020:fèi
㩍	31960.010:cè
㩒	31967.020:qín
㩓	31966.020:huǐ
㩖	31967.040:qiáng
㩘	31972.020:nǐ
㩙	31972.080:sāi
㩚	31974.020:méng
㩝	31975.050:háo
㩟	31976.050:zhài
㩠	31981.150:āo,piǎo,póu
㩡	31980.010:luǒ
㩢	31979.040:miè,mì
㩤	31979.080:fū
㩦	31981.060:xié,xī
㩧	31980.050:bó
㩨	31978.070:huì
㩩	31981.110:qǐng
㩯	31984.140:pó
㩰	31984.070:jiǎo
㩱	31988.050:jué
㩳	31988.040:sǒng
㩴	31987.020:jú,qú
㩵	31991.080:è
㩶	31991.120:niè
㩷	80026.200:qiān
㩸	31992.120:dié
㩻	21329.070:qī,guì,guǐ
㩼	21329.100:zhī
㩽	21329.140:qí,chì,è
㩾	21330.030:zhuì,qí
㩿	21449.070:kū
㪀	21449.050:yú
㪁	21450.110:qín,kān,qiàn,qián
㪂	21450.090:kū
㪃	21452.030:hé
㪄	21455.100:fú
㪆	21452.070:dǐ
㪇	21457.060:xiàn
㪈	21455.130:guì
㪋	21458.120:hàn,hě
㪍	21460.020:bó,bèi
㪎	21458.080:shǎn,nà
㪏	21465.020:bǐ
㪐	21465.110:lù
㪑	21464.050:yè
㪒	21465.010:ní
㪓	21464.120:chuái
㪕	21464.070:diào,chuò
㪖	21465.140:lù
㪗	21465.070:tǒu
㪛	21469.090:zhěn
㪜	21469.170:chuǎi,duǒ
㪝	21469.120:liàn
㪠	21471.100:qiān,qiàn,jiān
㪡	21471.130:kài,kě
